ID;Job Title;Company;Location;Responsibilities;Requirements;Benefits;URL
1;Senior ICT Manager;European Football Clubs;Warsaw;"The role’s responsibilities will include, but not be limited to:
Strategy 


Lead the implementation, governance, and continuous evolution of EFC’s ICT strategy, ensuring alignment with organisational priorities, operational needs, and future growth.
Provide strategic guidance on technology, digital workplace evolution, cybersecurity, AI, automation, and process improvement opportunities.
Oversee ICT budgeting, procurement, forecasting, and vendor governance.

ICT Operations Management


Ensure the availability, reliability, and performance of ICT infrastructure, cloud services, business applications, and collaboration platforms.
Establish and maintain ICT operational standards, procedures, service-level agreements (SLAs), and reporting dashboards.
Manage ICT service delivery and coordinate outsourced support providers to ensure high-quality support and continuous improvement.
Oversee procurement, lifecycle management, upgrades, and maintenance of hardware and software assets.
Lead the governance, optimisation, and adoption of Microsoft 365 collaboration tools, with particular focus on SharePoint Online, Teams, and OneDrive.
Drive organisational adoption and efficient usage of collaboration platforms through governance, training, and user enablement initiatives.
Supervise Microsoft 365 tenant administration activities in coordination with the ICT Officer responsible for day-to-day administration.

Cybersecurity & Risk Management


Lead the organisation’s cybersecurity posture, including risk assessment, mitigation, monitoring, and incident response.
Ensure compliance with relevant legislation, standards, and governance frameworks (e.g., GDPR, ISO27001, NIS2).
Implement and maintain business continuity and disaster recovery plans.
Assess risks linked to emerging technologies, including AI usage, cloud services, data privacy, shadow IT, and information security, and define appropriate governance and controls.

Project & Change Leadership


Oversee major ICT projects, including infrastructure upgrades, digital transformation initiatives, and system implementations.
Project manage the deployment of digital tools and platforms for other departments, such as event management systems for the Events team or ERP solution in collaboration with Finance.
Manage stakeholders and cross-department coordination to ensure successful delivery of ICT initiatives.
Apply project management methodologies to ensure projects are delivered on time and within budget.

Systems & Application Management


Oversee the development, integration, and optimisation of business applications, databases, ERP systems, and collaboration tools.
Ensure data quality, integrity, security, and accessibility across the organisation.
Support digital innovation, automation, and process optimisation initiatives, including low-code/no-code and AI-assisted solutions.

Vendor & Contract Management


Manage relationships with external ICT suppliers and technology partners, ensuring contractual compliance, service performance, cost control, and continuous improvement.";"Experience


Significant experience in senior ICT leadership or management roles. 
Strong technical understanding of networks, cloud services, cybersecurity, infrastructure, and enterprise applications.
Strong hands-on expertise with Microsoft 365 ecosystem, particularly SharePoint Online, Teams, OneDrive, and modern workplace collaboration environments.
Experience driving organisational adoption and change management linked to digital workplace tools and new ways of working.
Experience managing outsourced ICT operating models and external managed service providers.
Strong understanding of emerging technologies, including AI tools, automation platforms, and associated governance and data privacy considerations.
Demonstrable track-record of successfully delivering ICT solutions and complex projects in a fast-growing organisation.
Experience with ICT governance, risk, and compliance frameworks.
Experience leading digital transformation and organisational change initiatives, including adoption of modern collaboration and AI-enabled tools.

Skills


Fluent in English.
Excellent communication and stakeholder management abilities.
Strong customer-service mindset.
Proactive, solutions-focused, and forward-thinking.
Strong leadership presence combined with a hands-on mindset, with the ability to influence at all levels.
Excellent project and organisational management skills, with the ability to manage multiple priorities in a fast-moving environment.
Ability to work both strategically and operationally within a small ICT team.
Ability to translate technical concepts into clear operational guidance for non-technical users.
Strong organisational change management and user enablement capabilities.

Diversity


Football has the unique power to bring people from diverse backgrounds together. It breaks down barriers and creates a shared sense of identity and belonging.
At EFC, we are committed to playing our part in making the game — and the world around it — more inclusive, and this starts with our own organisation.


We are working to build a culture where everyone feels welcome, valued and respected — free from discrimination, bias or prejudice. We encourage applications from people of all backgrounds.";;https://www.linkedin.com/jobs/view/4424065736
2;Regular Information Security Support Engineer;Luxoft Polska;Warsaw;"Execute identity remediation initiatives across critical systems, eliminating orphaned accounts, stale access, excessive privileges, and unmanaged service accounts.
Perform hands-on cleanup and risk reduction across accounts, entitlements, and privileged access in alignment with firm standards.
Drive service account security improvements, including remediation of clear-text passwords, credential vaulting and rotation, ownership validation, and enforcement of lifecycle controls.
Support onboarding of applications and privileged accounts into the firm's Identity Governance & Administration (IGA) solution, and Privileged Access Management platforms in alignment to firm's access control requirements.
Reduce administrative access across critical platforms by identifying excessive privileged access and implementing least-privilege controls.
Strengthen group and entitlement governance by simplifying complex group structures and aligning them to standardized access models.
Partner with application, infrastructure, and engineering teams to implement access changes and close control gaps.
Track remediation efforts through completion, maintaining audit-ready documentation and measurable evidence of risk reduction.
Monitor shared mailboxes and ticketing queues related to remediation and onboarding activities, ensuring timely response, prioritization, and escalation.
Leverage AI tools and large language models to automate repeatable analysis, reconciliation, and documentation tasks.";"Minimum of 3 years of professional experience in Identity & Access Management (IAM), information security, identity operations, or a related technology role.
Hands-on CyberArk experience
Linux knowledge
Hands-on experience executing identity lifecycle management, account remediation, or access cleanup initiatives within an enterprise environment.
Practical experience working with Identity Governance & Administration (IGA) solutions such as SailPoint, including onboarding applications or supporting entitlement management processes.
Working knowledge of Active Directory, group-based access models, and service account management.
Experience supporting privileged account onboarding or working with Privileged Access Management (PAM) solutions (e.g., CyberArk or similar).
Demonstrated understanding of identity hygiene principles, least-privilege design, service account risk management, and access control best practices.
Experience supporting remediation tracking and audit-related validation activities, including production of audit-ready evidence.
Proven ability to analyze large access and entitlement datasets (e.g., access extracts, entitlement listings, reconciliation reports) to identify control gaps and prioritize corrective actions.
Strong organizational skills with the ability to manage multiple remediation workstreams and drive issues through closure.
Clear written and verbal communication skills, with the ability to coordinate remediation and onboarding efforts across global stakeholders.
Hands-on experience leveraging AI tools or large language models to automate repeatable analysis, documentation, or reconciliation activities.
Commitment to the highest ethical standards.
Languages:
English: B2";"Paid Referrals
Equipment: laptop and monitor
Private Medical & Dental care & Life Insurance covered
MyBenefit program (sports card, well-being program etc.)
Internal Mobility program - possibility of rotation between projects, locations, accounts
LuxTalent platform (webinars, training, courses)
...and more!";https://www.linkedin.com/jobs/view/4422916343
3;Junior IT Consultant;HyLogic;Warsaw;Your Role: As a Junior IT Consultant, you will: Collaborate with our clients to improve the efficiency of their supply chains through world-class IT systems, Work as part of a project team — initially under the guidance of senior consultants, but quickly taking on more independent tasks, Analyze client needs and help design and implement IT solutions, Combine business knowledge and technical skills in real, global projects.;To apply you should:Communicate confidently in spoken and written English (you’ll work with international clients), Have your first professional experience – ideally in IT, consulting or supply chain management, Be eager to learn and contribute to meaningful projects, Have strong analytical and problem-solving skills. Please note: Initially, we need your physical presence at our Warsaw office 3-4 days a week, with the possibility of transitioning to fewer office days as you progres;We Are Offering: Rewarding, challenging, and dynamic work in an international environment. Ongoing learning and development opportunities. Very competitive compensation. Flexible and agile work practices that focus on our people’s well-being to drive innovation and entrepreneurship. Reasons to Join Our Team: Tangible impact on the company you work for. Collaboration with professionals from the IT and Supply Chain industry in a fun environment. Exposure to cutting-edge technologies and business frameworks. “We Get Things Done”;https://www.linkedin.com/jobs/view/4345648635
4;Information Technology Technician;Astreya;Warsaw;"Technical Infrastructure & Data Center Operations
Maintain the highest quality standards across all assigned data center locations and remote points of presence (POP).
Perform physical installation, repair, maintenance, and testing activities with meticulous attention to telecommunications industry standards.
Execute basic data center and networking services, including cable management, installation of cable trays, and desk organization.
Manage Installation, Move, Add, and Change (MAC) requests for CPU farms, network gear, and IT assets.
Provide onsite troubleshooting and AV support for Google Meet equipment in conference rooms.
End-User Support & Service Delivery
Provide onsite technical support through desk visits, including troubleshooting, installation, and break/fix services for computers and accessories.
Manage remote support, queue management, and user interactions via ServiceNow, ensuring timely ticket updates.
Facilitate and coordinate with Google Deskside Support (DSS) and the Equipment Management Team (EMT) to assist users with hardware and software needs.
Encourage users to leverage standard IT support processes while proactively creating service requests on their behalf to ensure excellent customer service.
Provide support to remote locations, which may include occasional travel.
Inventory & Asset Management
Oversee Waymo IT and network inventory, maintaining a high level of accuracy within the asset inventory database.
Manage inventory for ""stuff stations"" and accessory racks to ensure supplies are consistently available.
Fulfill inventory requests and coordinate all shipping and receiving logistics.
Assist in coordinating site access, equipment staging, and related logistical tasks.
Project Coordination & Continuous Improvement
Coordinate with fellow technicians to facilitate timely installation and maintenance activities.
Analyze current workflows to identify areas for improvement and recommend scalable solutions.
Execute additional IT projects within the required scope, as well as special projects outside of standard technical scope upon approval.
Perform other duties as required; this list is not exhaustive and may evolve based on business needs.";"Associate's degree (A.A) or equivalent from two-year college or technical school and 0 to 2 years’ related experience and/or training; or equivalent combination of education and experience
Knowledge of data center and POP infrastructure, including experience or deep understanding of OSP, ISP, interfacility cabling, fiber and copper distribution, AC/DC power systems, environmental controls, and relay rack/cabinet/cage construction.
Ability to work independently, diagnose problems and take appropriate action with minimal supervision.
Experience with Google Sheets, workflow and project management applications, and administrative software applications.
Understanding of how to use a Tier-1 ITSM platform";;https://www.linkedin.com/jobs/view/4416520397
5;IT Support Specialist;Moon Active;Warsaw;"Respond to requests for technical assistance in person, via phone, email and ticket support center;
Install, troubleshoot and resolve end-user IT technical matters such as software, hardware, and multimedia systems;
Provide guidance, assistance, coordination and follow-up on clients questions and issues;
Follow standard IT procedures, logging all IT interactions and administering IT software;
Fully supporting, configuring, maintaining and upgrading corporate IT infrastructure, including systems and networks;
Responsible for managing the onboarding and offboarding processes end-to-end;
Collaborate with various technical teams within the organisation;
Identify and escalate situations requiring urgent attention;
Support IT purchasing upon demand.";"Experience as a Help Desk / IT Support (2+years);
High customer orientation skills;
Familiarity with Hardware components (Desktops, Laptops);
Experience with handling IT tasks on MacOS and Windows OS;
Experience with one of the following IT backend environments (Active directory, Microsoft Azure AD, Okta, Microsoft Office 365, Google Workspace);
Well experienced in supporting end-user desktop peripherals and applications such as internet browsers, printers, workstations, emails etc;
Understanding of networking components and infrastructure (LAN / WAN, TCP/IP, DHCP, DNS);
Communication skills for interfacing with employees in a multitasking environment;
Solid knowledge of information security principles and practices;
Proficiency in Polish and English.";"Why join Moon Active? 

Be part of a leading global mobile gaming company with a unique product enjoyed by millions;
Thrive in an exceptional, innovative, and dynamic environment;
Enjoy full transparency and open communication with talented colleagues across teams;
Take advantage of tremendous opportunities for professional growth and career advancement within a rapidly expanding company;
Influence and help build personalized product experiences that impact millions of users worldwide.
We offer

Generous compensation; paid vacation and sick leave;
Extensive medical and life insurance coverage for you and your family;
CrossFit & running classes at the office and MultiSport card; 
Comfortable and modern office located on Królewska 16 street in Warsaw;
Free daily breakfasts and lunches, and a fully stocked kitchen with snacks and fruits;
Latest tech equipment, including macOS devices;
Training & Development/Tuition reimbursement;
Friend Referral Program with generous bonuses;
Fun and collaborative workplace culture with regular Friday Happy Hours and team gatherings;
Relocation bonus for candidates moving to Warsaw;
Bicycle and Car parking.";https://www.linkedin.com/jobs/view/4422406488
6;IT Support Coordinator;Us3 Consulting;Warsaw;"Translate and facilitate communication between Polish and English-speaking stakeholders; Support sprint meetings, KT sessions, and project discussions; Coordinate with IT teams for smooth communication and understanding; Ensure accurate interpretation of technical and business discussions; Assist in documentation and communication activities";"Fluent in Polish and English communication; Basic IT knowledge and understanding of technical terminology; Experience supporting sprint and KT meetings; Good interpersonal and coordination skills";;https://www.linkedin.com/jobs/view/4417046165
7;IT Business Analyst;HCLTech;Warsaw;"Requirement Gathering & Analysis: Conduct workshops and interviews to define, document, and prioritize business requirements (functional and non-functional); Process Mapping & Modeling: Document current state (As-Is) and design future state (To-Be) business processes and workflows; Stakeholder Communication: Act as the liaison between business stakeholders, developers, and testers to ensure project alignment; Solution Design & Testing: Translate business needs into technical specifications and support QA teams, including conducting User Acceptance Testing (UAT); Project Lifecycle Management: Oversee the project from initiation to deployment, managing changes and facilitating solutions to complex problems; Data Analysis: Identify trends, patterns, and insights to recommend improvements using tools like SQL or Excel";"Overall experience in IT should be 5+; Should have E2E BA experience with 4+; Good to have ERP domain with integration systems like SAP with IIB, SFDC, etc.; Analytical Skills: Strong ability to analyze complex issues, break them down, and propose practical solutions; Documentation: Expertise in creating Business Requirements Documents (BRD), Functional Requirements Specifications (FRS), and user stories; Technical Proficiency: Knowledge of SQL, database structures, ETL tools, and modeling tools (e.g., Visio); Methodologies: Experience with Agile/Scrum or Waterfall frameworks; Communication: Excellent verbal and written skills to convey complex information to technical and non-technical audiences";"Life insurance; Private medical care; MultiSport Card; Subsidy for glasses; Subsidy to language courses; Christmas and holiday bonuses; Clear career path in a growing multinational organization";https://www.linkedin.com/jobs/view/4409314563
8;IT Network & User Support Specialist;Ayesa Digital;Warsaw;"Deploy and maintain office IT infrastructure outside regular premises, mainly across EU locations; Deploy and support high-quality wired and wireless connectivity solutions in remote and international environments; Provide technical assistance and support services to internal and external users remotely and onsite; Handle incidents and service requests through multiple channels (self-service portal, phone, email, and in person); Troubleshoot and analyse hardware, software, network, and workplace-related issues; Escalate complex incidents to specialised support teams when required; Provide end-user guidance and ensure an excellent customer experience; Contribute to knowledge base development and continuous service improvement initiatives; Configure, install, and maintain end-user devices and workplace equipment; Support IT deployment and infrastructure improvement projects; Work flexibly in environments requiring frequent travel and irregular working hours";"EQF Level 4 qualification or equivalent academic background; Certified English proficiency at C1 level or above; 3–7 years of relevant professional experience in IT support and infrastructure environments, depending on seniority level; Proven experience in similar end-user support or service desk roles; Wired and wireless networking technologies; Windows operating systems and workplace environments; End-user infrastructure, including workstations, printers, and peripherals; Microsoft 365 cloud services and collaboration tools; ITIL framework, particularly Incident and Request Management processes; ITSM platforms such as ServiceNow; Experience delivering technical support within international and multicultural environments; Full driving licence (Category B); Availability and willingness to travel frequently across Europe";"Opportunity to work on prestigious European Union projects; International, innovative, and multicultural work environment; Participation in high-impact technological initiatives; Continuous learning and collaboration with expert teams; Professional growth within a global organisation";https://www.linkedin.com/jobs/view/4410192398
9;Junior/Medior System Engineer;Euronet Payments Infrastructure;Warsaw;"Support Business Analyst to define business needs, processes and system requirements; Design solutions based on requirements, functional specifications and gap analysis; Translate functional specification into solution through integrations and setup; Provide work estimates and technical plan for configuration and QA work; Configure the system to meet requirements; Document all configuration work and support Change Management process; Liaise with Development for any enhancement requests or bug fixing; Perform handover and conduct training to end users";"Fresh graduates from IT or Technical educational background; If experienced, preferably coming from Financial/Fintech/Banking/EFT (Electronic Fund Transfer) industry; Hands on experience in any database (SQL, RDBMS or Non-Relation Databases); Basic knowledge of Linux and XML; Excellent computer skills and easy adoption of new software and technologies; Fluent English and Polish; Analytical and time management skills; Ability and willingness to work in nationally and geographically diversified teams; Complex thinking in IT and business-related processes; Multitasking; Software development, testing or software configuration experience; Any programming language coding experience";"Language courses on the eTutor platform for the employee and next of kin; Udemy e-learning platform; Medical care package at Luxmed for the employee and family with the ‘Freedom of Treatment’ service; Life insurance on preferential terms at TU Warta; Multisport card; Christmas gifts; Subsidised glasses up to PLN 1000; Co-financing of kindergartens; Integration activities; Employee referral scheme";https://www.linkedin.com/jobs/view/4414086999
10;Associate Cyber Security Engineer;Visa;Warsaw;"Collaborate with the Warsaw IAM team and the global AAG program to ensure local deliverables align with the global IAM AAG roadmap and security requirements; Collaborate with IAM engineers and analysts to implement Zero-Trust principles, regulatory requirements, and AI/ML-driven enhancements; Onboard applications and components into IAM governance as aligned with their authentication and authorization models, ensuring compliance with IAM controls and Technical Security Requirements; Use analytics tools (Excel, Power BI, Python) to assist in identifying access-risk patterns and recommending improvements; Enforce IAM controls, resolve exceptions, and support process improvements under guidance; Develop scripts and workflows to automate IAM tasks; Assist in building and maintaining AI/ML models for IAM control/process gap detection and process optimization; Work with IAM technology team to test and deploy automation solutions; Ensure continuous enforcement and improvement of IAM access governance controls; Automate compliance reporting, IAM control validation, and evidence collection; Provide technical support for IAM-related requests and incidents; Partner with Application Development and Business teams to integrate IAM processes; Support change management activities; Perform manual validation of IAM security configurations; Maintain IAM-related risk and control documentation; Assist with audit preparation and remediation; Continue to develop technical and IAM domain knowledge; Share knowledge and collaborate with peers";"Bachelor's degree OR 3+ years of relevant work experience; 2+ years of professional experience; Deep expertise in Identity & Access Management (IAM) frameworks, policies, and procedures; Experience with IAM initiatives and AI-powered automation; Strong grasp of application architecture, authentication, and authorization models; Advanced data-analytics and scripting skills (Excel, Python, PowerShell, C); Experience applying AI and GenAI technologies to IAM solutions; Strong communication and stakeholder-management skills; Analytical and problem-solving skills; Ability to manage multiple projects; Certifications (CISA, CISSP, CISM) preferred; Knowledge of compliance standards (GDPR, SOX, HIPAA); Experience with IAM platforms (SailPoint, Okta, CyberArk, Password Safe, Microsoft Azure AD)";;https://www.linkedin.com/jobs/view/4422981836
